presence,log10area,dry,water,shade,bird,fish,ponds,land,macro
0,2,1,2,0.1,2,4,2,1,0.3
0,1.602,1,2,0.9,1,2,1,1,0
0,2.176,1,3,0.2,2,2,4,1,0.8
0,1.398,1,2,0.9,1,2,4,1,0
1,2.903,1,2,0.9,1,1,5,3,0
0,2.439,1,3,0.05,2,4,2,4,0.5
0,3.595,1,3,0.05,1,4,5,4,0.05
0,2.301,2,2,0,1,2,4,4,0
0,2.097,3,2,0.95,1,1,0,4,0.05
1,1.255,3,3,0.15,1,2,1,3,0.6
0,1.556,2,2,1,1,2,3,4,0
0,2,2,2,0.7,1,1,3,4,0.6
0,2.76,1,3,0.1,2,3,0,4,0.4
0,2.255,1,2,0.8,1,2,1,4,0.05
0,2.176,1,2,0.75,1,2,1,4,0.05
0,2.38,2,2,0.85,1,1,1,1,0.1
0,2.079,3,2,0.6,2,1,1,1,0.5
0,1.778,2,2,0.25,1,2,1,1,0.35
0,2.301,1,2,0.15,2,4,5,4,0.2
0,1.903,1,2,0.05,1,4,5,4,0.3
0,2,1,3,0,1,2,5,4,0.2
1,1.845,1,3,0,1,2,3,3,0.3
1,1.699,1,2,0.5,1,2,3,3,0
0,2.248,1,3,0.95,1,2,6,4,0.05
0,1.903,2,3,0.8,2,1,6,4,0.05
1,2.049,1,3,0.8,1,2,6,4,0.05
0,2.301,1,2,0.9,1,2,4,1,0
0,2.041,1,3,0.2,1,2,3,1,0.3
0,3.447,1,3,0.2,1,4,4,4,0.2
1,2.778,1,3,0.4,2,2,2,3,0.1
0,2.176,3,3,0.5,2,1,5,3,0.35
0,2.301,3,2,0.9,1,1,6,4,0.05
0,0.477,3,2,0.9,1,1,2,1,0.1
0,1.748,1,3,0.6,1,2,2,1,0.95
0,2.398,1,3,0.7,2,2,4,1,0.05
0,1.176,2,3,0.95,1,2,4,3,0
0,2.176,2,2,0.85,1,1,5,1,0
0,2.574,1,2,0.5,1,2,5,1,0.3
0,2.243,1,2,0.2,1,2,5,1,0.1
1,2.352,1,3,0.2,2,2,6,2,0.2
1,2,1,3,0.15,1,2,5,2,0.4
0,1.903,1,2,0.5,1,1,4,1,0.05
1,1.477,1,2,0.6,1,1,5,4,0
0,1.477,1,3,0.6,1,3,9,4,0.7
0,0.903,3,3,0.9,1,3,9,4,0
0,3.699,1,3,0.05,2,4,6,4,0.05
0,4,1,3,0.05,2,4,6,4,0.05
0,1.892,1,2,0.1,1,1,3,2,0.8
0,2.602,1,3,0.3,2,2,1,3,0.7
0,2.653,1,3,0.25,1,2,1,3,0.7
0,1.176,2,2,1,1,3,0,2,0.05
0,2.049,3,3,0.7,2,1,2,2,0.15
0,2.398,1,3,0.05,1,2,3,4,0.7
